,날짜,국가,시군구,읍면동,방문자수
274,20190819,일본,제주시,삼도2동,1279
275,20190819,말레이시아,제주시,삼도2동,466
276,20190819,중국,제주시,건입동,6241
277,20190819,베트남,제주시,용담2동,439
278,20190819,미국,제주시,용담2동,410
279,20190819,태국,제주시,용담2동,760
280,20190819,싱가포르,제주시,용담2동,143
281,20190819,말레이시아,제주시,용담2동,733
282,20190819,일본,제주시,용담2동,3644
283,20190819,인도네시아,제주시,용담2동,134
284,20190819,홍콩,제주시,용담2동,194
285,20190819,기타,제주시,용담2동,2772
286,20190819,말레이시아,제주시,노형동,154
287,20190819,중국,제주시,용담2동,35477
288,20190819,태국,제주시,용담1동,2
289,20190819,말레이시아,제주시,용담1동,34
290,20190819,인도네시아,제주시,용담1동,15
291,20190819,홍콩,제주시,용담1동,9
292,20190819,기타,제주시,용담1동,112
293,20190819,중국,제주시,용담1동,1055
294,20190819,베트남,제주시,삼도2동,83
295,20190819,미국,제주시,삼도2동,21
296,20190819,태국,제주시,삼도2동,58
297,20190819,싱가포르,제주시,삼도2동,13
298,20190819,미국,제주시,용담1동,26
299,20190819,싱가포르,제주시,노형동,107
300,20190819,태국,제주시,노형동,23
301,20190819,인도네시아,서귀포시,송산동,7
302,20190819,홍콩,서귀포시,송산동,5
303,20190819,기타,서귀포시,송산동,127
304,20190819,중국,서귀포시,송산동,685
305,20190819,베트남,서귀포시,표선면,99
306,20190819,미국,서귀포시,표선면,76
307,20190819,태국,서귀포시,표선면,167
308,20190819,말레이시아,서귀포시,표선면,72
309,20190819,일본,서귀포시,표선면,204
310,20190819,인도네시아,서귀포시,표선면,37
311,20190819,홍콩,서귀포시,표선면,24
312,20190819,기타,서귀포시,표선면,265
313,20190819,중국,서귀포시,표선면,1910
314,20190819,베트남,서귀포시,안덕면,40
315,20190819,미국,서귀포시,안덕면,822
316,20190819,태국,서귀포시,안덕면,193
317,20190819,싱가포르,서귀포시,안덕면,84
318,20190819,말레이시아,서귀포시,안덕면,284
319,20190819,일본,서귀포시,안덕면,2478
320,20190819,홍콩,서귀포시,안덕면,231
321,20190819,기타,서귀포시,안덕면,2415
322,20190819,일본,서귀포시,송산동,16
323,20190819,중국,서귀포시,안덕면,15598
324,20190819,태국,서귀포시,송산동,1
325,20190819,중국,서귀포시,정방동,2163
326,20190819,홍콩,서귀포시,천지동,6
327,20190819,기타,서귀포시,천지동,223
328,20190819,중국,서귀포시,천지동,852
329,20190819,베트남,서귀포시,중앙동,8
330,20190819,미국,서귀포시,중앙동,47
331,20190819,태국,서귀포시,중앙동,6
332,20190819,싱가포르,서귀포시,중앙동,26
333,20190819,일본,서귀포시,중앙동,32
334,20190819,인도네시아,서귀포시,중앙동,37
335,20190819,홍콩,서귀포시,중앙동,11
336,20190819,기타,서귀포시,중앙동,173
337,20190819,중국,서귀포시,중앙동,325
338,20190819,베트남,서귀포시,정방동,4
339,20190819,미국,서귀포시,정방동,111
340,20190819,태국,서귀포시,정방동,29
341,20190819,싱가포르,서귀포시,정방동,92
342,20190819,말레이시아,서귀포시,정방동,14
343,20190819,일본,서귀포시,정방동,220
344,20190819,인도네시아,서귀포시,정방동,17
